date,year,month,month_number,year_number,total_arr,total_customers,total_new_customers,total_churned_customers,monthly_revenue,total_cogs,total_compensation,total_marketing_expenses,total_sales_expenses,total_r_and_d_expenses,total_g_and_a_expenses,one_time_expenses,total_operating_expenses,total_headcount,gross_profit,gross_margin,ebitda,ebitda_margin,cash_flow,capital,burn_rate,runway_months,sales_marketing_expense,cac,arpu,monthly_margin_per_customer,customer_lifetime_months,ltv,ltv_cac_ratio,cumulative_cash_flow,profitable_month
2026-10-23,2026,10,23,2,1629840.0,15,1,0,135820.0,23089.4,327915.0,24243.87,16026.76,14940.2,73770.0,0.0,456895.83,21.7,112730.6,0.8300000000000001,-344165.23,-2.533980488882344,-344165.23,-1217512.7633333332,344165.23,120.0,40270.63,37127.73,108656.0,7515.373333333334,139.0,543280.0,10.0,-6412215.430000002,False
2026-11-22,2026,11,24,2,1757040.0,16,1,0,146420.0,24891.4,327915.0,26135.969999999998,17277.559999999998,16106.199999999999,73770.0,0.0,461204.73,21.7,121528.6,0.8300000000000001,-339676.13,-2.3198752219642125,-339676.13,-1557188.893333333,339676.13,120.0,43413.53,40270.63,109815.0,7595.537500000001,139.0,549075.0,10.0,-6751891.560000001,False
2026-12-22,2026,12,25,3,1856213.76,15,0,1,154684.48,26296.361600000004,517502.475,24362.8056,18252.76864,17015.2928,108831.0,0.0,685964.34204,33.01,128388.1184,0.83,-557576.22364,-3.6046035364375273,-557576.22364,-2114765.116973333,557576.22364,120.0,42615.57424,63149.86712,123747.584,8559.207893333334,139.0,618737.92,9.797929088659023,-7309467.783640001,False
2027-01-21,2027,1,26,3,2005927.2,17,2,0,167160.6,28417.302000000003,517502.475,26327.7945,19724.9508,18387.666,108831.0,0.0,690773.8862999999,33.01,138743.298,0.8300000000000001,-552030.5883,-3.3023965473921484,-552030.5883,-2666795.705273333,552030.5883,120.0,46052.745299999995,44027.28318,117995.71764705882,8161.370470588235,240.0,589978.5882352941,10.0,-7861498.371940001,False
2027-02-20,2027,2,27,3,2305354.08,21,4,0,192112.84,32659.182800000006,517502.475,30257.772300000004,22669.315120000003,21132.4124,108831.0,0.0,700392.97482,33.01,159453.6572,0.83,-540939.31762,-2.8157374469088063,-540939.31762,-3207735.022893333,540939.31762,120.0,52927.08742000001,23599.234493333333,109778.76571428572,7593.0312952380955,240.0,548893.8285714285,10.0,-8402437.689560002,False
2027-03-22,2027,3,28,3,3210689.28,31,10,0,267557.44,45484.764800000004,517502.475,42140.2968,31571.77792,29431.3184,108831.0,0.0,729476.86812,33.01,222072.6752,0.83,-507404.19292,-1.896430885719343,-507404.19292,-3715139.2158133327,507404.19292,120.0,73712.07472,10793.244215,103570.62193548387,7163.634683870968,240.0,517853.10967741936,10.0,-8909841.882480001,False
2027-04-21,2027,4,29,3,4736814.24,48,17,0,394734.52,67104.8684,517502.475,62170.6869,46578.67336000001,43420.7972,108831.0,0.0,778503.63246,33.01,327629.6516,0.83,-450873.98086,-1.1422208041495838,-450873.98086,-4166013.1966733327,450873.98086,120.0,108749.36026000002,7593.178141935485,98683.63,6825.617741666666,240.0,493418.15,10.0,-9360715.863340002,False
2027-05-21,2027,5,30,3,6846911.52,72,24,0,570575.96,96997.9132,517502.475,89865.7137,67327.96328,62763.355599999995,108831.0,0.0,846290.50758,33.01,473578.04679999995,0.83,-372712.46078,-0.653221458506594,-372712.46078,-4538725.657453333,372712.46078,120.0,157193.67698,6659.904156078432,95095.99333333333,6577.472872222222,240.0,475479.9666666667,10.0,-9733428.324120002,False
2027-06-20,2027,6,31,3,9413203.68,100,28,0,784433.64,133353.7188,517502.475,123548.29830000001,92563.16952,86287.7004,108831.0,0.0,928732.64322,33.01,651079.9212,0.83,-277652.72202,-0.3539531043314256,-277652.72202,-4816378.379473333,277652.72202,120.0,216111.46782000002,6986.297174782609,94132.0368,6510.799211999999,240.0,470660.184,10.0,-10011081.046140002,False
2027-07-20,2027,7,32,3,12129209.28,130,30,0,1010767.44,171830.46480000002,517502.475,159195.87180000002,119270.55792,111184.4184,108831.0,0.0,1015984.32312,33.01,838936.9752,0.8300000000000001,-177047.34791999997,-0.17516130903464794,-177047.34791999997,-4993425.727393333,177047.34791999997,120.0,278466.42972,7948.433835609756,93301.60984615383,6453.361347692308,240.0,466508.04923076916,10.0,-10188128.394060003,False
2027-08-19,2027,8,33,3,15900263.52,172,42,0,1325021.96,225253.7332,517502.475,208690.9587,156352.59128,145752.4156,108831.0,0.0,1137129.44058,33.01,1099768.2268,0.8300000000000001,-37361.213779999875,-0.028196675155481857,-37361.213779999875,-5030786.941173333,37361.213779999875,120.0,365043.54998,8596.2144752,92443.39255813953,6394.001318604652,240.0,462216.96279069764,10.0,-10225489.607840002,False
2027-09-18,2027,9,34,3,21182561.28,230,58,0,1765213.4400000002,300086.2848,517502.475,278021.11679999996,208295.18592000002,194173.47840000002,108831.0,0.0,1306823.25612,33.01,1465127.1552000002,0.83,158303.89908000012,0.08967974948117328,158303.89908000012,-4872483.042093333,0.0,120.0,486316.30272,8690.97140323077,92098.09252173913,6370.118066086957,240.0,460490.46260869567,10.0,-10067185.70876,True
2027-10-18,2027,10,35,3,27505026.24,299,69,0,2292085.52,389654.53839999996,517502.475,361003.46939999994,270466.09135999996,252129.40719999996,108831.0,0.0,1509932.44296,33.01,1902430.9816,0.8300000000000001,392498.53864000016,0.17124079150414953,392498.53864000016,-4479984.503453333,0.0,120.0,631469.5607599999,8774.13854118343,91990.05431438127,6362.645423411371,240.0,459950.27157190634,10.0,-9674687.17012,True
2027-11-17,2027,11,36,3,33236464.32,363,64,0,2769705.36,470849.9112,517502.475,436228.5942,326825.23247999995,304667.5896,108831.0,0.0,1694054.89128,33.01,2298855.4488,0.83,604800.5575199998,0.2183627783137192,604800.5575199998,-3875183.945933333,0.0,120.0,763053.8266799999,9847.328220732983,91560.50776859504,6332.935120661156,240.0,457802.53884297516,10.0,-9069886.6126,True
2027-12-17,2027,12,37,4,35371554.2976,362,0,1,2947629.5248000002,501097.0192160001,721788.4485000002,433301.5401456,347820.2839264,324239.24772800005,144084.20000000004,0.0,1971233.7203,44.382000000000005,2446532.505584,0.83,475298.7852840002,0.16124780311944042,475298.7852840002,-3399885.160649333,0.0,120.0,781121.824072,16358.234673022554,97711.475960221,6758.377087248619,240.0,488557.379801105,10.0,-8594587.827316001,True
2028-01-16,2028,1,38,4,35529949.552162714,364,2,0,2960829.1293468927,503340.95198897185,721788.4485000002,435241.8820139932,349377.8372629334,325691.2042281582,144084.20000000004,0.0,1976183.572005085,44.382000000000005,2457488.177357921,0.83,481304.60535283596,0.16255737306225548,481304.60535283596,-2918580.5552964974,0.0,120.0,784619.7192769266,35284.77833377162,97609.75151693054,6751.341146587695,214.00000000000003,488048.7575846527,10.0,-8113283.221963165,True
2028-02-15,2028,2,39,4,35719291.47585085,368,4,0,2976607.6229875707,506023.29590788705,721788.4485000002,437561.32057917287,351239.6995125334,327426.83852863277,144084.20000000004,0.0,1982100.507120339,44.382000000000005,2470584.3270796835,0.83,488483.8199593446,0.1641075619732041,488483.8199593446,-2430096.735337153,0.0,120.0,788801.0200917062,392423.76057343883,97063.29205394252,6713.544367064358,214.00000000000003,485316.4602697126,1.236715278301528,-7624799.402003821,True
